title,combined
King Richard,a look at how tennis superstars venus and serena williams became who they are after the coaching from their father richard williams. reinaldomarcusgreen biography drama sport
Shershaah,"shershaah is the story of pvc awardee indian soldier capt. vikram batra, whose bravery and unflinching courage in chasing the pakistani soldiers out of indian territory contributed immensely in india finally winning the kargil war in 1999. vishnuvardhan action biography drama"
The Mitchells vs the Machines,"a quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope. michaelrianda,jeffrowe animation adventure comedy"
The Little Things,"kern county deputy sheriff joe deacon is sent to los angeles for what should have been a quick evidence-gathering assignment. instead, he becomes embroiled in the search for a serial killer who is terrorizing the city. johnleehancock crime drama mystery"
The Unforgivable,a woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past. norafingscheidt crime drama
"tick, tick... BOOM!","on the cusp of his 30th birthday, a promising young theater composer navigates love, friendship and the pressures of life as an artist in new york city. lin-manuelmiranda biography comedy drama"
The Green Knight,a fantasy retelling of the medieval story of sir gawain and the green knight. davidlowery adventure drama fantasy
Hitman's Wife's Bodyguard,"the bodyguard, michael bryce, continues his friendship with assassin, darius kincaid, as they try to save darius' wife sonia. patrickhughes action comedy crime"
Malignant,"madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities. jameswan crime horror mystery"
Halloween Kills,surviving victims of michael myers form a vigilante mob and vow to end his reign of terror. davidgordongreen action horror thriller
Finch,"on a post-apocalyptic earth, a robot, built to protect the life of his creator's beloved dog learns about life, love, friendship and what it means to be human. miguelsapochnik adventure drama sciencefiction"
West Side Story,"an adaptation of the 1957 musical, west side story explores forbidden love and the rivalry between the jets and the sharks, two teenage street gangs of different ethnic backgrounds. stevenspielberg crime drama musical"
Fear Street: Part One - 1994,a circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. welcome to shadyside. leighjaniak drama horror mystery
Judas and the Black Messiah,"offered a plea deal by the fbi, william o'neal infiltrates the illinois chapter of the black panther party to gather intelligence on chairman fred hampton. shakaking biography drama history"
The Worst Person in the World,"the chronicles of four years in the life of julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is. joachimtrier comedy drama romance"
Army of Thieves,"a prequel, set before the events of army of the dead, which focuses on german safecracker ludwig dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse. matthiasschweighöfer action comedy crime"
Pig,a truffle hunter who lives alone in the oregon wilderness must return to his past in portland in search of his beloved foraging pig after she is kidnapped. michaelsarnoski drama mystery
Belfast,a young boy and his working-class belfast family experience the tumultuous late 1960s. kennethbranagh biography drama romance
Pushpa: The Rise - Part 1,"a labourer rises through the ranks of a red sandal smuggling syndicate, making some powerful enemies in the process. sukumar action crime drama"
The Woman in the Window,"an agoraphobic woman living alone in new york begins spying on her new neighbors, only to witness a disturbing act of violence. joewright crime drama mystery"
Master,"an alcoholic professor is sent to a juvenile school, where he clashes with a gangster who uses the school children for criminal activities. lokeshkanagaraj action crime thriller"
Farha,a 14-year-old girl in 1948 palestine watches from a locked pantry as catastrophe consumes her home. darinj.sallam drama
The Dig,an archaeologist embarks on the historically important excavation of sutton hoo in 1938. simonstone biography drama history
Sing 2,"buster moon and his friends must persuade reclusive rock star clay calloway to join them for the opening of a new show. garthjennings,christophelourdelet animation adventure comedy"
House of the Sun,"dcp veer sooryavanshi, the chief of the anti-terrorism squad in india, tries to bring down a terrorist organization with which he has a history. rohitshetty action crime thriller"
Space Jam: A New Legacy,"a rogue artificial intelligence kidnaps the son of famed basketball player lebron james, who then has to work with bugs bunny to win a basketball game. malcolmd.lee animation adventure comedy"
Spencer,"diana spencer, struggling with mental-health problems during her christmas holidays with the royal family at their sandringham estate in norfolk, england, decides to end her decade-long marriage to prince charles. pablolarraín biography drama"
Coming 2 America,the african monarch akeem learns he has a long-lost son in the united states and must return to america to meet this unexpected heir and build a relationship with his son. craigbrewer comedy music
Candyman,a sequel to the horror film candyman (1992) that returns to the now-gentrified chicago neighborhood where the legend began. niadacosta horror thriller
