title,combined
Pleasure,"bella cherry arrives in los angeles with dreams of becoming an adult film star, but she soon learns that fame won't come easy as she harnesses her ambition and cunning to rise to the top of this mesmerizing and singular world. ninjathyberg drama"
After Yang,"in a near future, a family reckons with questions of love, connection, and loss after their a.i. helper unexpectedly breaks down. kogonada drama sciencefiction"
15/07: Break of Dawn,"dramatisation based on real events, brings together different people during an attempted coup on the bosphorus bridge in istanbul in 2016. volkankocatürk action drama war"
The Last Letter from Your Lover,a pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965. augustinefrizzell drama romance
Mother/Android,"in a post-apocalyptic world rocked by a violent android uprising, a young pregnant woman and her boyfriend desperately search for safety. mattsontomlin drama sciencefiction thriller"
Night Teeth,"a college student moonlighting as a chauffeur picks up two mysterious women for a night of party-hopping across la. but when he uncovers their bloodthirsty intentions - and their dangerous, shadowy underworld - he must fight to stay alive. adamrandall action crime drama"
SAS: Red Notice,a small army of well trained criminals led by grace lewis have hijacked a train deep beneath the english channel. magnusmartens action thriller
The Kissing Booth 3,"it's the summer before elle evans is set to head off to college, and she has a big decision to make. vincemarcello comedy romance"
Intrusion,"a woman moves to a small town with her husband, but is rattled when she is targeted for a home invasion. adamsalky action drama mystery"
8-Bit Christmas,"in 1980s chicago, a 10-year-old sets out on a quest to get the christmas gift of his generation: the latest and greatest video-game system. michaeldowse comedy family"
Barb and Star Go to Vista Del Mar,lifelong friends barb and star embark on the adventure of a lifetime when they decide to leave their small midwestern town for the first time - ever. joshgreenbaum comedy fantasy
No One Gets Out Alive,"after being forced to take a room in a boardinghouse, an immigrant in search of the american dream finds herself in a nightmare she can't escape. santiagomenghini drama horror mystery"
Bliss,"a mind-bending love story following greg who, after recently being divorced and then fired, meets the mysterious isabel, a woman living on the streets and convinced that the polluted, broken world around them is a computer simulation. mikecahill drama romance sciencefiction"
Akhanda,"balakrishna plays a fierce devotee of lord shiva, who stands tall against evildoers. boyapatisrinu action drama"
Home Sweet Home Alone,a married couple tries to steal back a valuable heirloom from a troublesome kid. danmazer comedy crime family
American Underdog,"the story of nfl mvp and hall of fame quarterback kurt warner, who went from stocking shelves at a supermarket to becoming an american football star. andrewerwin,jonerwin biography drama sport"
"Batman: The Long Halloween, Part One","held hostage by the powerful falcone crime family, gotham city is rife with crime and corruption. adding to the chaos is the mysterious holiday killer, who has been targeting the underworld and leaving a trail of terror - and body bags. chrispalmer animation action crime"
Hypnotic,"a young woman seeking self-improvement enlists the help of a renowned hypnotherapist. but after a handful of intense sessions, she discovers unexpected and deadly consequences. mattangel,suzannecoote mystery thriller"
There's Someone Inside Your House,"the graduating class at osborne high is being targeted by a masked assailant, intent on exposing the darkest secret of each victim, and only a group of misfit outsiders can stop the killings. patrickbrice horror mystery thriller"
Censor,"after viewing a strangely familiar video nasty, enid, a film censor, sets out to solve the past mystery of her sister's disappearance, embarking on a quest that dissolves the line between fiction and reality. pranobailey-bond horror mystery"
The Electrical Life of Louis Wain,english artist louis wain rises to prominence at the end of the 19th century for his surreal cat paintings that seemed to reflect his declining sanity. willsharpe biography drama history
Single All the Way,"desperate to avoid his family's judgment about his perpetual single status, peter convinces his best friend nick to join him for the holidays and pretend that they're now in a relationship. michaelmayer comedy drama romance"
Meenakshi Sundareshwar,"forced to live apart due to a unique job prospect, two newlyweds face the hassles, hiccups - and hilarity - that arise from their long distance marriage. viveksoni comedy romance"
After We Fell,"just as tessa makes the biggest decision of her life, everything changes. revelations about her family, and then hardin's, throw everything they knew before in doubt and makes their hard-won future together more difficult to claim. castillelandon drama romance"
